,DATE,US_GDP,US_UNRATE,US_HousingPriceIndex,US_CPI,US_INDPRO,Price,Open,High,Low,Volume,Change %,Change,USREC,Target
0,2000-01-01,10002.179,4.0,100.551,0.297088532,91.4092,3080.2,3080.2,3080.2,3080.2,14585551181.102362,-1.20%,-0.012,0.0,0
1,2000-02-01,10002.179,4.1,101.339,0.592417062,91.7245,3124.6,3124.6,3124.6,3124.6,14585551181.102362,1.44%,0.0144,0.0,1
2,2000-03-01,10002.179,4.0,102.127,0.824499411,92.083,3133.3,3133.3,3133.3,3133.3,14585551181.102362,0.28%,0.0028000000000000004,0.0,1
3,2000-04-01,10247.72,3.8,102.922,0.058411215,92.6659,3115.8,3133.3,3201.4,2902.1,14585551181.102362,-0.56%,-0.005600000000000001,0.0,0
4,2000-05-01,10247.72,4.0,103.677,0.116754232,92.9347,3081.0,3115.8,3131.9,2985.7,14585551181.102362,-1.12%,-0.011200000000000002,0.0,0
5,2000-06-01,10247.72,4.0,104.424,0.524781341,93.0018,3311.2,3081.0,3313.8,3067.1,14585551181.102362,7.47%,0.0747,0.0,1
6,2000-07-01,10318.165,4.0,105.054,0.232018561,92.8373,3251.1,3311.2,3337.4,3227.3,14585551181.102362,-1.82%,-0.0182,0.0,0
7,2000-08-01,10318.165,4.1,105.768,0.0,92.591,3297.8,3251.1,3386.6,3241.0,14585551181.102362,1.44%,0.0144,0.0,1
8,2000-09-01,10318.165,3.9,106.538,0.520833333,92.9827,3298.8,3297.8,3356.5,3176.2,14585551181.102362,0.03%,0.0003,0.0,1
9,2000-10-01,10435.744,3.9,107.382,0.172711572,92.64,3254.6,3298.8,3330.7,3180.7,14585551181.102362,-1.34%,-0.0134,0.0,0
10,2000-11-01,10435.744,3.9,108.302,0.057471264,92.6604,3274.6,3254.6,3381.0,3254.6,14585551181.102362,0.61%,0.0060999999999999995,0.0,1
11,2000-12-01,10435.744,3.9,109.142,-0.057438254,92.3457,3206.2,3274.6,3348.8,3171.7,14585551181.102362,-2.09%,-0.0209,0.0,0
12,2001-01-01,10470.231,4.2,109.846,0.632183908,91.8908,3341.7,3206.2,3347.7,3206.2,14585551181.102362,4.23%,0.042300000000000004,0.0,1
13,2001-02-01,10470.231,4.2,110.501,0.399771559,91.2851,3326.5,3341.7,3364.3,3278.8,14585551181.102362,-0.45%,-0.0045000000000000005,0.0,0
14,2001-03-01,10470.231,4.3,111.108,0.227531286,91.0585,3147.2,3326.5,3370.2,3138.4,14585551181.102362,-5.39%,-0.053899999999999997,0.0,0
15,2001-04-01,10599.0,4.4,111.652,0.397275823,90.7384,3329.4,3147.2,3333.7,3147.2,14585551181.102362,5.79%,0.0579,1.0,1
16,2001-05-01,10599.0,4.3,112.164,0.4522329,90.2607,3379.1,3329.4,3444.3,3322.1,14585551181.102362,1.49%,0.0149,1.0,1
17,2001-06-01,10599.0,4.5,112.797,0.16882386,89.7811,3490.3,3379.1,3490.3,3378.1,14585551181.102362,3.29%,0.0329,1.0,1
18,2001-07-01,10598.02,4.6,113.491,-0.280898876,89.2352,3324.5,3490.3,3490.3,3283.4,14585551181.102362,-4.75%,-0.0475,1.0,0
19,2001-08-01,10598.02,4.9,114.167,0.0,89.157,3275.6,3324.5,3424.8,3275.6,14585551181.102362,-1.47%,-0.0147,1.0,0
20,2001-09-01,10598.02,5.0,114.812,0.450704225,88.6749,3049.5,3275.6,3295.0,2882.8,14585551181.102362,-6.90%,-0.069,1.0,0
21,2001-10-01,10660.465,5.3,115.31,-0.336511497,88.4051,3249.6,3049.5,3285.9,3049.5,14585551181.102362,6.56%,0.06559999999999999,1.0,1
22,2001-11-01,10660.465,5.5,115.857,-0.16882386,87.886,3337.4,3249.6,3370.5,3222.4,14585551181.102362,2.70%,0.027000000000000003,1.0,1
23,2001-12-01,10660.465,5.7,116.455,-0.394588501,87.8518,3422.3,3337.5,3440.6,3288.4,14585551181.102362,2.54%,0.0254,0.0,1
24,2002-01-01,10783.5,5.7,117.143,0.226372383,88.4634,3464.2,3422.3,3468.9,3377.3,14585551181.102362,1.22%,0.012199999999999999,0.0,1
25,2002-02-01,10783.5,5.7,117.844,0.395256917,88.4578,3414.3,3464.2,3506.1,3402.5,14585551181.102362,-1.44%,-0.0144,0.0,0
26,2002-03-01,10783.5,5.7,118.687,0.562429696,89.1265,3414.8,3414.3,3499.9,3382.1,14585551181.102362,0.01%,0.0001,0.0,1
27,2002-04-01,10887.46,5.9,119.611,0.559284116,89.5507,3350.0,3414.8,3424.6,3337.5,14585551181.102362,-1.90%,-0.019,0.0,0
